fixture_id,date,timestamp,referee,venue_name,venue_city,status_long,status_short,league_id,league_name,season,round,home_team_id,home_team_name,away_team_id,away_team_name,home_goals,away_goals,home_goals_halftime,away_goals_halftime,home_goals_fulltime,away_goals_fulltime,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_inside_box,home_shots_outside_box,home_fouls,home_corner_kicks,home_offsides,home_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_percentage,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_inside_box,away_shots_outside_box,away_fouls,away_corner_kicks,away_offsides,away_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_percentage
1252431,2024-08-28,1724859900,Khalid Al Turais,Al Ettifaq Club Stadium,Dammam,Match Finished,FT,307,Pro League,2024,Regular Season - 2,2934,Al-Ettifaq,2977,Al Akhdoud,1,0,0,0,1,0,4.0,4.0,9.0,1.0,3.0,6.0,6,4.0,1.0,49.0,,,3.0,406,351,86.0,3.0,6.0,13,4.0,7.0,6.0,7,3.0,1.0,51.0,1.0,,3.0,438,387,88.0
1252432,2024-08-28,1724868000,I. Kovács,Prince Faisal bin Fahd Stadium,Riyadh,Match Finished,FT,307,Pro League,2024,Regular Season - 2,2932,Al-Hilal Saudi FC,2956,Damac,3,2,1,0,3,2,9.0,2.0,15.0,4.0,11.0,4.0,15,8.0,3.0,67.0,2.0,,1.0,486,415,85.0,3.0,2.0,6,1.0,5.0,1.0,11,1.0,6.0,33.0,3.0,,7.0,244,160,66.0
1252433,2024-08-28,1724868000,Mamdouh Al Shahdan,King Abdulaziz Sports City Stadium,Mecca,Match Finished,FT,307,Pro League,2024,Regular Season - 2,2937,Al Wehda Club,2961,Al Orubah,2,1,1,1,2,1,3.0,5.0,12.0,4.0,6.0,6.0,7,3.0,1.0,53.0,3.0,,2.0,424,346,82.0,4.0,2.0,9,3.0,5.0,4.0,10,6.0,,47.0,,,1.0,361,272,75.0
1252434,2024-08-29,1724946900,Sultan Alharbi,Prince Faisal bin Fahd Stadium,Riyadh,Match Finished,FT,307,Pro League,2024,Regular Season - 2,10511,Al Riyadh,10509,Al Kholood,3,1,1,0,3,1,5.0,3.0,11.0,3.0,8.0,3.0,13,5.0,1.0,46.0,1.0,,3.0,323,255,79.0,4.0,5.0,12,3.0,8.0,4.0,14,7.0,,54.0,2.0,,3.0,386,318,82.0
1252435,2024-08-29,1724954400,Abdullah Al Awedan,Prince Mohamed bin Fahd Stadium,Dammam,Match Finished,FT,307,Pro League,2024,Regular Season - 2,2928,Al Khaleej Saihat,2940,Al Shabab,0,1,0,0,0,1,2.0,4.0,8.0,2.0,6.0,2.0,12,3.0,4.0,53.0,,,1.0,434,356,82.0,2.0,1.0,4,1.0,,4.0,19,,5.0,47.0,3.0,,2.0,394,328,83.0
1252436,2024-08-29,1724954400,I. Kružliak,King Abdullah Sports City,Jeddah,Match Finished,FT,307,Pro League,2024,Regular Season - 2,2938,Al-Ittihad FC,2936,Al Taawon,2,1,0,0,2,1,6.0,3.0,12.0,3.0,7.0,5.0,10,4.0,2.0,51.0,3.0,,3.0,527,460,87.0,4.0,4.0,13,5.0,6.0,7.0,12,3.0,1.0,49.0,5.0,1.0,4.0,509,446,88.0
1252437,2024-09-13,1726242300,Khalid Al Turais,Al Taawoun Club Stadium,Buraidah,Match Finished,FT,307,Pro League,2024,Regular Season - 3,2936,Al Taawon,2928,Al Khaleej Saihat,2,0,1,0,2,0,5.0,6.0,14.0,3.0,5.0,9.0,14,4.0,,57.0,5.0,,,546,479,88.0,,7.0,11,4.0,6.0,5.0,10,5.0,1.0,43.0,3.0,,3.0,397,331,83.0
1252440,2024-09-13,1726242600,Majed Alshamrani,Dhamak Club Stadium,Khamis Mushait,Match Finished,FT,307,Pro League,2024,Regular Season - 3,2956,Damac,2977,Al Akhdoud,3,1,3,0,3,1,5.0,5.0,10.0,,6.0,4.0,11,5.0,1.0,40.0,2.0,,3.0,278,205,74.0,4.0,10.0,20,6.0,14.0,6.0,13,11.0,2.0,60.0,2.0,,3.0,405,341,84.0
1252438,2024-09-13,1726250400,S. Karasev,Al Awal Park at King Saud University,Riyadh,Match Finished,FT,307,Pro League,2024,Regular Season - 3,2939,Al-Nassr,2929,Al-Ahli Jeddah,1,1,0,0,1,1,4.0,13.0,19.0,2.0,15.0,4.0,7,8.0,1.0,59.0,1.0,,3.0,425,365,86.0,4.0,1.0,6,1.0,2.0,4.0,19,3.0,1.0,41.0,3.0,,4.0,319,254,80.0
1252441,2024-09-14,1726327200,Abdulsamad Bakri,Al Fateh Club Stadium,Al-Hofuf,Match Finished,FT,307,Pro League,2024,Regular Season - 3,2931,Al-Fateh,2934,Al-Ettifaq,1,2,0,1,1,2,2.0,2.0,7.0,3.0,4.0,3.0,14,4.0,4.0,55.0,,,4.0,498,427,86.0,6.0,8.0,18,4.0,9.0,9.0,12,1.0,1.0,45.0,1.0,,1.0,418,349,83.0
1252444,2024-09-14,1726328700,Sultan Akiri,Al Majma'ah Sports City Stadium,Al Majma'ah,Match Finished,FT,307,Pro League,2024,Regular Season - 3,2944,Al-Fayha,2935,Al-Raed,0,5,0,3,0,5,,6.0,8.0,2.0,2.0,6.0,10,2.0,1.0,51.0,1.0,1.0,4.0,521,458,88.0,8.0,8.0,18,2.0,9.0,9.0,10,4.0,7.0,49.0,1.0,,,506,440,87.0
1252439,2024-09-14,1726336800,T. Bognár,Prince Faisal bin Fahd Stadium,Riyadh,Match Finished,FT,307,Pro League,2024,Regular Season - 3,10511,Al Riyadh,2932,Al-Hilal Saudi FC,0,3,0,0,0,3,1.0,4.0,8.0,3.0,4.0,4.0,12,3.0,6.0,38.0,3.0,,4.0,302,240,79.0,7.0,8.0,22,7.0,18.0,4.0,15,12.0,4.0,62.0,2.0,,1.0,514,458,89.0
1252442,2024-09-15,1726413600,Faisal Alblwi,Prince Mohamed bin Fahd Stadium,Dammam,Match Finished,FT,307,Pro League,2024,Regular Season - 3,2933,Al-Qadisiyah FC,2940,Al Shabab,0,1,0,1,0,1,7.0,10.0,18.0,1.0,8.0,10.0,13,10.0,5.0,46.0,5.0,,2.0,357,301,84.0,3.0,1.0,6,2.0,6.0,,9,2.0,3.0,54.0,3.0,,7.0,446,370,83.0
1252445,2024-09-15,1726415400,Raed Al Zahrani,Ar-Rass Stadium,Rass,Match Finished,FT,307,Pro League,2024,Regular Season - 3,10509,Al Kholood,2961,Al Orubah,3,3,1,1,3,3,7.0,7.0,17.0,3.0,7.0,10.0,7,4.0,,43.0,1.0,,2.0,303,239,79.0,5.0,2.0,9,2.0,5.0,4.0,10,2.0,2.0,57.0,3.0,,4.0,394,320,81.0
